title,link,exp,company,salary,cities,tags
R&D Infrastructure Engineer,https://jobs.dou.ua/companies/zone3000/vacancies/272106/,3-5, ZONE3000,,віддалено,"Python,Git,SQL,Docker,AWS,Linux,AI,JavaScript,Kubernetes,Terraform,Jenkins"
Python Developer/Data Scientist,https://jobs.dou.ua/companies/interactive-online-technologies/vacancies/272193/,3-5, Interactive Online Technologies,від $5500,віддалено,"Python,Git,SQL,REST,API,Docker,AI,JavaScript,JS,NoSQL,Pandas,NumPy,TensorFlow,PyTorch"
Middle Full-Stack Engineer,https://jobs.dou.ua/companies/letsdata/vacancies/275193/,3-5, LetsData,,віддалено,"Python,Docker,AI,JS,Terraform"
Senior Full-stack Engineer (Python+JS),https://jobs.dou.ua/companies/1648-factory/vacancies/260126/,3-5, 1648 Factory,,віддалено,"Python,Flask,Git,AI,OOP,Bootstrap,Pandas"
Automation QA Engineer (Python),https://jobs.dou.ua/companies/exoft/vacancies/278894/,3-5, Exoft,,Львів,"Python,REST,AWS,AI"
Python Developer,https://jobs.dou.ua/companies/kozak-group/vacancies/278920/,3-5, Kozak Group,,"Київ, віддалено","Python,Django,SQL,REST,API,Docker,PostgreSQL,AI,JS,MongoDB,Kubernetes,CI/CD"
Middle Python Developer (Part-time),https://jobs.dou.ua/companies/upplabs/vacancies/278943/,3-5, Upplabs,,"Київ, віддалено","Python,API,AWS,AI,OOP"
Python/Full Stack Engineer,https://jobs.dou.ua/companies/zfort/vacancies/279088/,3-5, ZFORT Group,,"Харків, Кременчук, Хмельницький, за кордоном, віддалено","Python,Flask,SQL,PostgreSQL,AI,React,Bootstrap,Pandas"
Python Developer,https://jobs.dou.ua/companies/enjoy-gaming/vacancies/279139/,3-5, Enjoy Gaming Ukraine,,"за кордоном, віддалено","Python,Git,AI,JS"
Senior Python Developer,https://jobs.dou.ua/companies/flyaps/vacancies/157572/,3-5, Flyaps,,віддалено,"Python,SQL,API,Docker,AWS,Linux,JS,React,OOP,Microservice,Kubernetes"
Python Software Engineer (with LLM) (Roosh),https://jobs.dou.ua/companies/roosh/vacancies/279392/,3-5, Roosh,,віддалено,"Python,SQL,REST,API,Docker,AWS,AI,NoSQL,MongoDB,Kubernetes,CI/CD"
RoboDK Engineer and Consultant,https://jobs.dou.ua/companies/a-listware/vacancies/279429/,3-5, A-listware,,віддалено,"Python,API,AI"
Python trainer (part-time),https://jobs.dou.ua/companies/dan-it-education/vacancies/279443/,3-5, DAN.IT education,від $20,"Київ, віддалено",Python
Automation QA Engineer (Python) Freelance,https://jobs.dou.ua/companies/lemberg-solutions/vacancies/279470/,3-5, Lemberg Solutions,,"Львів, Луцьк, Рівне, віддалено","Python,SQL,REST,API,Docker,Networking,HTML,CSS"
"General QA Engineer (Python, Abroad)",https://jobs.dou.ua/companies/pin-up-global/vacancies/279471/,3-5, PIN-UP Global,,"за кордоном, віддалено","Python,Git,REST,API,AWS,AI,JavaScript,OOP,GraphQL,CI/CD,TypeScript"
Python Web Developer,https://jobs.dou.ua/companies/go-wombat-team/vacancies/121032/,3-5, Go Wombat,$3000–4000,"Дніпро, Івано-Франківськ, Валенсія (Іспанія), віддалено","Python,Django,Git,REST,API,Docker,JS,React"
Customer Support Engineer,https://jobs.dou.ua/companies/temerix/vacancies/276490/,1-3, Temerix,,Вінниця,"Python,SQL,AI,NoSQL,HTML,CSS"
General QA Engineer (Python) — Warsaw/Cyprus,https://jobs.dou.ua/companies/pin-up-global/vacancies/276584/,1-3, PIN-UP Global,,"Варшава (Польща), Лімасол (Кіпр)","Python,Git,REST,API,AI,OOP"
Python Developer,https://jobs.dou.ua/companies/synergy-way/vacancies/276589/,1-3, Synergy Way,,Львів,"Python,Django,Git,SQL,API,Docker,AWS,Linux,AI,JavaScript,JS,React,OOP,Pandas,NumPy"
Python backend developer,https://jobs.dou.ua/companies/benning-power-electronics/vacancies/211516/,1-3, BENNING,,Київ,"Python,Django,Flask,SQL,REST,API,Docker,AWS,PostgreSQL,AI,Bootstrap"
Strong Junior Python (Django) Engineer,https://jobs.dou.ua/companies/planeks/vacancies/276785/,1-3, PLANEKS,,We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine.,"Python,Django,SQL,REST,API,PostgreSQL,AI,JS,HTML,CSS"
Python Developer,https://jobs.dou.ua/companies/mellifera-operations-limited/vacancies/277183/,1-3, Mellifera Operations Limited,$2500–4500,"Мальта, віддалено","Python,Django,Flask,Git,SQL,REST,API,Docker,AWS,AI,NoSQL,CI/CD"
Python Developer/Part-time Mentor,https://jobs.dou.ua/companies/mate-academy/vacancies/229356/,1-3, Mate academy,,віддалено,"Python,AI"
Python Data Engineer (transitioning to DataOps Engineer),https://jobs.dou.ua/companies/replyapp/vacancies/277264/,1-3, Reply.io,,віддалено,"Python,Git,AI,Pandas,Data Analysis"
Волонтерська позиція: Middle/Senior FullStack (Node.js + Python) Developer для УНКД,https://jobs.dou.ua/companies/nko-go-unkd/vacancies/277374/,1-3,"ГО ""УНКД""",,віддалено,"Python,JS,Fullstack"
PHP/Python Developer,https://jobs.dou.ua/companies/treeum/vacancies/270028/,1-3, Treeum,,"Київ, віддалено","Python,SQL,API,Docker,JS"
Junior Python Software Engineer,https://jobs.dou.ua/companies/codeit/vacancies/277835/,1-3, CodeIT,,"Харків, Вінниця, віддалено","Python,Git,SQL,REST,API,Docker,AWS,PostgreSQL,AI,OOP,HTML,CI/CD"
Strong Junior or Middle Python Engineer,https://jobs.dou.ua/companies/artellence/vacancies/278175/,1-3, Artellence,,віддалено,"Python,Git,SQL,API,Docker,AI,NoSQL,MongoDB,Big Data"
Middle Python Developer,https://jobs.dou.ua/companies/coaxsoftware/vacancies/274849/,1-3, COAX Software,,"Івано-Франківськ, віддалено","Python,Django,Flask,SQL,API"
Middle Backend Engineer (Python),https://jobs.dou.ua/companies/poklyk/vacancies/274879/,1-3, Poklyk,,"Київ, за кордоном, віддалено","Python,Django,Git,SQL,REST,API,Docker,PostgreSQL,AI,Microservice,DRF"
Python Developer,https://jobs.dou.ua/companies/nova-digital/vacancies/271776/,1-3, Nova Digital,,віддалено,"Python,Git,SQL,API,Docker,PostgreSQL,AI,JS,MongoDB,CI/CD,ETL"
Middle QA Automation (Python),https://jobs.dou.ua/companies/quod-financial-ukraine/vacancies/215783/,1-3, Quod Financial,,"Гданськ (Польща), віддалено","Python,Git,SQL,Linux,AI,OOP,Kubernetes"
Fullstack Developer (Python + React),https://jobs.dou.ua/companies/pecode-software/vacancies/274806/,1-3, Pecode,,"Львів, віддалено","Python,Django,Flask,SQL,REST,API,Docker,PostgreSQL,JavaScript,JS,React,HTML,CSS,CI/CD,TypeScript"
Backend Engineer (PHP/Python) / ЛУН,https://jobs.dou.ua/companies/lun/vacancies/278957/,1-3, ЛУН,,"Київ, віддалено","Python,Flask,SQL,API,Docker,AWS,PostgreSQL,JS,React,CI/CD"
